,country,food_category,consumption,co2_emmission
2,Argentina,Beef,55.48,1712.0
90,Brazil,Beef,39.25,1211.1699999999996
57,USA,Beef,36.24,1118.29
13,Australia,Beef,33.86,1044.85
123,Bermuda,Beef,33.15,1022.94
222,French Polynesia,Beef,30.9,953.51
189,Canada,Beef,30.25,933.45
79,Luxembourg,Beef,29.88,922.03
68,Uruguay,Beef,29.1,897.9599999999998
233,Israel,Beef,28.78,888.09
134,Denmark,Beef,28.46,878.22
387,Venezuela,Beef,25.89,798.91
211,Hong Kong SAR. China,Beef,25.82,796.75
112,Sweden,Beef,24.58,758.49
36,Iceland,Lamb & Goat,21.12,739.62
376,Chile,Beef,23.86,736.2700000000002
178,France,Beef,23.81,734.73
101,Kazakhstan,Beef,23.38,721.4599999999998
24,Albania,Beef,22.5,694.3
46,New Zealand,Beef,22.49,693.99
