,country,food_category,consumption,co2_emmission
9,Argentina,Soybeans,0.0,0.0
31,Albania,Soybeans,0.0,0.0
75,Uruguay,Soybeans,0.01,0.0
264,Kuwait,Pork,0.0,0.0
317,Italy,Soybeans,0.01,0.0
339,Portugal,Soybeans,0.01,0.0
361,Armenia,Soybeans,0.0,0.0
394,Venezuela,Soybeans,0.0,0.0
438,Croatia,Soybeans,0.0,0.0
471,Paraguay,Soybeans,0.0,0.0
570,Bolivia,Soybeans,0.01,0.0
581,Ecuador,Soybeans,0.0,0.0
614,Romania,Soybeans,0.01,0.0
658,Serbia,Soybeans,0.0,0.0
660,United Arab Emirates,Pork,0.0,0.0
671,Algeria,Pork,0.0,0.0
680,Algeria,Soybeans,0.0,0.0
693,Pakistan,Pork,0.0,0.0
702,Pakistan,Soybeans,0.0,0.0
770,Saudi Arabia,Pork,0.0,0.0
